age,income,education_years,hours_per_week,experience_years,credit_score,owns_house,owns_car,num_dependents,city_tier,loan_approved
56,21920,5,52,26,568,1,0,3,3,0
69,126121,5,72,24,663,0,0,1,3,1
46,97219,13,49,31,399,1,1,4,3,0
32,96872,10,23,18,514,0,0,5,1,0
60,101132,7,68,23,396,1,1,4,3,1
25,22093,7,70,2,847,1,1,2,3,0
38,32905,0,70,11,636,1,1,2,1,0
56,141759,6,79,34,658,1,1,3,2,1
36,44351,5,49,14,589,0,1,5,3,0
40,50981,7,78,16,695,0,1,3,3,0
28,93903,18,71,31,659,0,0,3,2,0
28,90821,19,73,6,646,0,1,0,3,1
41,129200,7,7,18,423,1,0,1,2,1
53,123241,13,42,6,837,0,0,1,2,0
57,102289,17,46,4,721,0,0,5,2,1
41,136506,15,44,39,635,0,1,3,3,0
20,104021,8,54,20,802,1,1,2,2,1
39,98513,14,39,6,356,1,0,1,3,0
19,39874,9,28,36,375,1,1,4,1,0
41,70931,15,21,22,765,1,0,0,2,1
61,27674,3,44,10,584,1,1,2,3,0
47,70516,19,78,9,685,0,1,0,2,0
55,141982,12,70,20,558,0,1,4,3,0
19,148408,4,48,32,776,0,0,1,3,1
38,114574,6,27,19,310,0,0,0,1,0
50,80686,8,10,32,559,1,0,5,2,1
29,114851,7,70,39,692,0,1,0,3,0
39,89212,15,25,34,668,1,1,0,1,1
61,22426,5,39,33,483,1,0,4,3,0
42,142952,15,33,35,315,0,0,2,3,0
66,110009,5,11,26,805,0,0,2,1,0
44,88498,13,57,18,385,0,1,4,2,1
59,49943,0,41,4,309,0,0,0,1,0
45,86395,8,27,28,776,0,1,0,2,1
33,64816,12,12,9,463,1,1,3,3,0
32,24138,18,52,39,323,0,0,5,3,0
64,120728,16,14,12,611,1,1,1,1,1
68,111176,10,28,28,537,1,1,1,1,0
61,95945,7,51,4,761,0,1,2,1,0
69,24017,4,57,11,761,1,1,4,3,0
20,30451,9,43,12,537,1,0,0,2,0
54,82956,6,71,21,321,1,1,5,1,1
68,113863,9,70,39,479,1,0,1,2,1
24,30278,3,10,14,798,1,1,4,1,0
38,110480,8,25,12,774,0,0,4,1,1
26,63764,13,77,0,638,0,1,0,1,0
56,143030,1,78,37,830,0,0,5,1,1
35,21134,8,40,0,461,1,1,4,3,0
21,82943,0,7,10,360,1,0,1,3,1
42,115667,9,46,39,384,0,0,3,1,1
31,74318,9,49,21,846,1,0,1,3,0
67,123423,19,48,34,789,1,1,5,3,1
26,123998,2,37,5,304,1,1,3,3,1
43,80128,5,64,27,375,1,0,4,3,0
19,108056,5,74,30,552,1,1,1,2,1
37,41869,1,30,7,306,0,0,0,2,0
45,122468,17,25,4,772,0,0,5,3,0
64,137034,1,6,16,437,1,1,4,2,1
24,25039,11,51,37,657,0,1,0,1,0
61,41281,4,34,8,462,0,1,3,2,0
25,132935,19,31,9,617,1,1,2,1,1
64,30442,6,75,19,757,0,1,2,2,0
52,93788,15,24,13,552,0,1,3,2,1
31,139729,19,54,13,500,1,0,2,1,1
34,47586,0,27,25,831,0,0,5,1,1
53,73053,0,17,28,464,1,0,4,3,0
67,70489,16,8,26,531,0,1,4,2,1
57,103104,0,18,24,627,0,0,5,1,1
21,106346,19,24,15,537,0,1,1,3,1
19,87087,12,17,35,419,0,1,4,1,0
23,32625,8,7,33,549,1,1,2,3,0
59,54397,14,51,15,635,1,0,5,3,1
21,78671,2,7,32,583,0,0,0,1,1
46,136214,13,5,2,497,1,1,1,1,1
35,111785,10,28,22,715,1,0,0,2,1
43,86897,11,39,10,694,0,1,2,2,0
61,46149,12,18,17,450,0,1,0,3,0
51,80030,12,71,28,564,1,0,2,1,0
27,89906,0,17,4,519,1,1,4,2,0
53,25283,9,51,23,515,1,1,1,3,0
31,27610,2,54,28,614,1,1,3,2,0
48,63326,3,30,28,515,0,1,2,3,0
65,34924,15,7,25,634,1,0,5,2,0
32,133143,7,55,39,658,1,0,5,1,1
25,130253,15,44,2,460,1,1,4,3,1
31,96162,16,72,1,810,0,1,5,3,0
40,120297,18,40,24,456,1,1,0,2,1
57,20869,14,55,18,461,1,0,4,2,0
38,117088,15,5,39,341,0,0,5,2,1
33,21014,14,37,1,479,0,0,0,1,0
62,30103,1,11,18,602,1,0,0,2,1
35,102522,10,56,0,629,0,0,0,2,1
64,130317,0,15,26,728,1,1,5,1,1
41,116007,14,31,34,649,1,0,0,2,1
43,53458,18,18,4,419,0,0,1,1,0
42,110605,3,50,37,374,0,1,5,1,0
62,102409,10,14,3,422,0,0,0,2,0
58,43248,4,28,16,481,1,1,1,1,0
46,109160,2,65,20,556,0,1,3,2,1
32,63516,12,22,30,568,1,0,1,1,0
62,49061,9,13,21,792,0,0,5,3,0
18,44170,10,21,10,479,1,0,5,2,0
42,28024,17,62,33,448,1,0,0,3,0
24,102214,1,17,14,817,0,1,5,3,0
26,123792,6,54,9,447,0,1,3,3,1
41,105947,8,10,37,308,1,0,4,3,1
18,63803,9,55,31,477,0,1,1,2,0
61,39296,17,40,30,694,0,1,4,1,0
25,111829,6,75,36,630,0,1,3,2,1
41,112708,6,29,27,355,0,0,1,2,0
28,106664,2,15,30,506,0,1,0,1,0
68,38257,11,48,5,404,0,1,1,3,0
34,32855,6,18,13,846,0,1,0,1,0
25,105178,16,33,22,654,1,0,2,3,0
52,149876,0,78,15,788,0,1,1,2,1
52,121121,4,54,24,802,1,1,1,1,1
50,143324,15,9,38,349,0,1,4,1,1
22,40025,14,76,1,386,1,1,4,3,0
59,24458,1,73,37,602,1,1,3,1,0
56,83610,8,61,38,300,0,1,0,2,0
58,90843,6,30,33,680,0,1,5,1,0
45,127237,3,10,39,661,0,0,4,1,1
24,103961,19,20,24,680,0,0,3,2,0
26,69831,17,64,35,461,1,0,0,3,0
25,63427,3,16,15,318,1,0,0,1,0
29,113809,12,79,17,542,0,0,0,3,0
51,58506,0,7,12,428,1,0,2,1,0
50,25668,2,67,36,475,0,1,0,2,0
65,111470,15,68,26,708,1,0,3,3,1
40,67195,3,66,33,383,0,0,0,1,0
41,93233,15,10,10,675,1,0,5,3,1
54,44417,18,23,0,521,0,0,5,1,0
52,101982,0,22,12,624,1,1,0,2,0
61,126133,4,47,29,750,0,1,3,2,1
57,30751,18,77,4,715,0,1,1,1,0
39,66218,10,7,17,744,1,1,0,1,0
44,146649,12,76,13,624,1,0,3,3,1
52,27352,19,42,12,822,1,1,4,1,0
18,99052,4,72,31,465,1,0,3,3,1
52,108835,3,48,6,537,1,1,2,1,1
54,117493,3,67,7,312,0,0,4,2,0
64,48927,3,46,6,556,1,0,5,3,0
31,61094,3,68,15,813,1,1,5,3,0
20,121948,19,58,30,509,1,1,1,2,1
18,74122,17,75,26,783,1,1,1,3,0
22,49493,17,41,32,664,0,1,3,2,0
43,112247,15,8,28,524,0,1,3,2,0
31,93539,8,6,7,493,0,1,0,2,1
56,51707,17,48,32,495,0,1,0,1,0
